title,upc,product_type,price_excl_tax,price_incl_tax,tax,availability,num_reviews
Of Mice and Men,39592d9d72e717c4,Books,£47.11,£47.11,£0.00,In stock (1 available),0
Off Sides (Off #1),b6f1cfadc4dd79d4,Books,£39.45,£39.45,£0.00,In stock (1 available),0
Old Records Never Die: One Man's Quest for His Vinyl and His Past,a1985630339f4b3d,Books,£55.66,£55.66,£0.00,In stock (1 available),0
On the Road (Duluoz Legend),9ff997ab15713e53,Books,£32.36,£32.36,£0.00,In stock (1 available),0
Origins (Alphas 0.5),8932e5c12f12ffed,Books,£28.99,£28.99,£0.00,In stock (1 available),0
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",326825e02a198cf6,Books,£29.87,£29.87,£0.00,In stock (1 available),0
"Paper Girls, Vol. 1 (Paper Girls #1-5)",bcbcbcf0f6ed196f,Books,£21.71,£21.71,£0.00,In stock (1 available),0
Paradise Lost (Paradise #1),849db7ab7f4a640c,Books,£24.96,£24.96,£0.00,In stock (1 available),0
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",3cdca3b4a93980f5,Books,£46.96,£46.96,£0.00,In stock (1 available),0
"Rhythm, Chord & Malykhin",9efb397067eb7e8a,Books,£28.34,£28.34,£0.00,In stock (1 available),0
"Saga, Volume 1 (Saga (Collected Editions) #1)",4f64568dfefa3ce7,Books,£28.48,£28.48,£0.00,In stock (1 available),0
Sense and Sensibility,35e44170702139a4,Books,£37.46,£37.46,£0.00,In stock (1 available),0
Settling the Score (The Summer Games #1),132adf7335bb384a,Books,£44.91,£44.91,£0.00,In stock (1 available),0
Shadow Rites (Jane Yellowrock #10),229cd6564bf0dce4,Books,£21.72,£21.72,£0.00,In stock (1 available),0
Shameless,c068c013d6921fea,Books,£58.35,£58.35,£0.00,In stock (1 available),0
Shatter Me (Shatter Me #1),9ed7090d8fa690b0,Books,£42.40,£42.40,£0.00,In stock (1 available),0
Sister Sable (The Mad Queen #1),3a9a7c5895e82646,Books,£13.33,£13.33,£0.00,In stock (1 available),0
"Skip Beat!, Vol. 01 (Skip Beat! #1)",2ac720f76384c57e,Books,£42.12,£42.12,£0.00,In stock (1 available),0
Starlark,e25164e5b3fe208b,Books,£25.83,£25.83,£0.00,In stock (1 available),0
Taking Shots (Assassins #1),a7eef9d6795422c1,Books,£18.88,£18.88,£0.00,In stock (1 available),0
The Art of Not Breathing,5bc1fbccfbf2355c,Books,£40.83,£40.83,£0.00,In stock (1 available),0
The Bette Davis Club,dfb0849016bc122c,Books,£30.66,£30.66,£0.00,In stock (1 available),0
The Bhagavad Gita,f3a0b8c835129558,Books,£57.49,£57.49,£0.00,In stock (1 available),0
The Complete Maus (Maus #1-2),3301af038a720587,Books,£10.64,£10.64,£0.00,In stock (1 available),0
The Edge of Reason (Bridget Jones #2),29fc016c459aeb14,Books,£19.18,£19.18,£0.00,In stock (1 available),0
The End of the Jesus Era (An Investigation #1),09659d1639a1f978,Books,£14.40,£14.40,£0.00,In stock (1 available),0
The Girl In The Ice (DCI Erika Foster #1),ee61197edb882599,Books,£15.85,£15.85,£0.00,In stock (1 available),0
The Girl You Lost,4280ac3eab57aa5d,Books,£12.29,£12.29,£0.00,In stock (1 available),0
The Haters,fff8a057a40c4a60,Books,£27.89,£27.89,£0.00,In stock (1 available),0
The Hook Up (Game On #1),6e473eff459e809f,Books,£36.29,£36.29,£0.00,In stock (1 available),0
The Iliad,86d8bd7afa5b51b3,Books,£16.16,£16.16,£0.00,In stock (1 available),0
The Last Girl (The Dominion Trilogy #1),16c71736dae78764,Books,£36.26,£36.26,£0.00,In stock (1 available),0
The Light of the Fireflies,04e43893e32f9d29,Books,£54.43,£54.43,£0.00,In stock (1 available),0
The Little Prince,1aeca7d078d57deb,Books,£45.42,£45.42,£0.00,In stock (1 available),0
The Mirror & the Maze (The Wrath and the Dawn #1.5),c40b70e0f6d80189,Books,£29.38,£29.38,£0.00,In stock (1 available),0
The Name of the Wind (The Kingkiller Chronicle #1),c8614adb1a90b027,Books,£50.59,£50.59,£0.00,In stock (1 available),0
The Nicomachean Ethics,5c10b64db3e4f228,Books,£36.34,£36.34,£0.00,In stock (1 available),0
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),b0913e67d38d5ed5,Books,£57.70,£57.70,£0.00,In stock (1 available),0
The Odyssey,f0512adadffd2480,Books,£29.64,£29.64,£0.00,In stock (1 available),0
The Republic,0ec9d2b018fb10d8,Books,£33.78,£33.78,£0.00,In stock (1 available),0
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",5faefdc861684eb1,Books,£54.12,£54.12,£0.00,In stock (1 available),0
The Secret Healer,38f776ab9118aed7,Books,£34.56,£34.56,£0.00,In stock (1 available),0
The Silent Twin (Detective Jennifer Knight #3),9e9932ae1a7d0943,Books,£36.25,£36.25,£0.00,In stock (1 available),0
The Silent Wife,b78deb463531d078,Books,£12.34,£12.34,£0.00,In stock (1 available),0
The Story of Hong Gildong,32d035df92ab9080,Books,£43.19,£43.19,£0.00,In stock (1 available),0
The Tumor,6514add13c82b115,Books,£41.56,£41.56,£0.00,In stock (1 available),0
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",dac9d1e654fac737,Books,£36.52,£36.52,£0.00,In stock (1 available),0
The Zombie Room,9c96cd1329fbd82d,Books,£19.69,£19.69,£0.00,In stock (1 available),0
This One Moment (Pushing Limits #1),d6d98d3508c30f57,Books,£48.71,£48.71,£0.00,In stock (1 available),0
Three Wishes (River of Time: California #1),460f97a346b44bac,Books,£44.18,£44.18,£0.00,In stock (1 available),0
Travels with Charley: In Search of America,0268f149d014b389,Books,£57.82,£57.82,£0.00,In stock (1 available),0
Twenty Love Poems and a Song of Despair,e63c3f25338baf9a,Books,£30.95,£30.95,£0.00,In stock (1 available),0
Vampire Girl (Vampire Girl #1),dab5e75d1339706a,Books,£53.82,£53.82,£0.00,In stock (1 available),0
"Vampire Knight, Vol. 1 (Vampire Knight #1)",e7e87087b1a44711,Books,£15.40,£15.40,£0.00,In stock (1 available),0
Ways of Seeing,66a4e422b212726a,Books,£39.51,£39.51,£0.00,In stock (1 available),0
When I'm Gone,c5f91eb481427dc5,Books,£51.96,£51.96,£0.00,In stock (1 available),0
Where Lightning Strikes (Bleeding Stars #3),def389ddfda6991b,Books,£39.77,£39.77,£0.00,In stock (1 available),0
While You Were Mine,8ceb5c6aed2c5f8b,Books,£41.32,£41.32,£0.00,In stock (1 available),0
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",09d26b5f819c6a36,Books,£18.51,£18.51,£0.00,In stock (1 available),0
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),d7b463918d3b8c39,Books,£52.88,£52.88,£0.00,In stock (2 available),0
"Fruits Basket, Vol. 2 (Fruits Basket #2)",c0db71f6bb14db11,Books,£11.64,£11.64,£0.00,In stock (2 available),0
H is for Hawk,b6d3f4f4ee1f6069,Books,£57.42,£57.42,£0.00,In stock (2 available),0
Kindle Paperwhite User's Guide,fb495f9f9015a772,Books,£34.00,£34.00,£0.00,In stock (2 available),0
Life,637e5a45062aa548,Books,£31.58,£31.58,£0.00,In stock (2 available),0
New Moon (Twilight #2),6fa3ea52c8e31e06,Books,£12.86,£12.86,£0.00,In stock (2 available),0
"Run, Spot, Run: The Ethics of Keeping Pets",b0e479be03911916,Books,£20.02,£20.02,£0.00,In stock (2 available),0
"Saga, Volume 2 (Saga (Collected Editions) #2)",9189fd009df41d0e,Books,£11.75,£11.75,£0.00,In stock (2 available),0
Sugar Rush (Offensive Line #2),ce42e3de94226b2b,Books,£24.42,£24.42,£0.00,In stock (2 available),0
The Course of Love,f3c76b53b239f511,Books,£16.78,£16.78,£0.00,In stock (2 available),0
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",276dc716b1da8899,Books,£54.81,£54.81,£0.00,In stock (2 available),0
The Sense of an Ending,4130678275eb7c8c,Books,£31.38,£31.38,£0.00,In stock (2 available),0
"The Suffragettes (Little Black Classics, #96)",d2185b65af52d68c,Books,£11.89,£11.89,£0.00,In stock (2 available),0
#GIRLBOSS,165affa7adb5eded,Books,£50.96,£50.96,£0.00,In stock (3 available),0
8 Keys to Mental Health Through Exercise,f5873c8fc7760000,Books,£31.04,£31.04,£0.00,In stock (3 available),0
A Heartbreaking Work of Staggering Genius,c9770bb1d5a492a0,Books,£54.29,£54.29,£0.00,In stock (3 available),0
A Storm of Swords (A Song of Ice and Fire #3),87beabf664115d79,Books,£31.22,£31.22,£0.00,In stock (3 available),0
A Visit from the Goon Squad,5dbd6ec4e154ad2f,Books,£14.08,£14.08,£0.00,In stock (3 available),0
A Walk in the Woods: Rediscovering America on the Appalachian Trail,bcee4f289ff6699c,Books,£30.48,£30.48,£0.00,In stock (3 available),0
And Then There Were None,cfe350b20d23b02b,Books,£35.01,£35.01,£0.00,In stock (3 available),0
Annie on My Mind,7bf87402413c27ff,Books,£36.83,£36.83,£0.00,In stock (3 available),0
Are We There Yet?,ef9c4f2465513956,Books,£10.66,£10.66,£0.00,In stock (3 available),0
Ash,5d22e2a46604b6e7,Books,£22.06,£22.06,£0.00,In stock (3 available),0
Awkward,1d89a2aa9f6ce50f,Books,£38.02,£38.02,£0.00,In stock (3 available),0
Beautiful Creatures (Caster Chronicles #1),5439bae708bca198,Books,£21.55,£21.55,£0.00,In stock (3 available),0
Beowulf,3fb69f34e178d494,Books,£38.35,£38.35,£0.00,In stock (3 available),0
Best of My Love (Fool's Gold #20),67dea6c75d6a1075,Books,£27.41,£27.41,£0.00,In stock (3 available),0
Between Shades of Gray,155e42df837ee5ff,Books,£20.79,£20.79,£0.00,In stock (3 available),0
Big Little Lies,d3f9c4539c0caa64,Books,£22.11,£22.11,£0.00,In stock (3 available),0
"Black Butler, Vol. 1 (Black Butler #1)",15f415d436888b2d,Books,£49.31,£49.31,£0.00,In stock (3 available),0
Black Flags: The Rise of ISIS,860318b8e244f39c,Books,£40.87,£40.87,£0.00,In stock (3 available),0
Blink: The Power of Thinking Without Thinking,0bbc48294707ba96,Books,£21.74,£21.74,£0.00,In stock (3 available),0
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",e256de8aa0c2115f,Books,£27.35,£27.35,£0.00,In stock (3 available),0
Boy Meets Boy,8e0bc2fe4e7d35b5,Books,£21.12,£21.12,£0.00,In stock (3 available),0
Brave Enough,fd2337c1b73b686e,Books,£51.32,£51.32,£0.00,In stock (3 available),0
Breaking Dawn (Twilight #4),bbfc4a3b7b6c94a0,Books,£35.28,£35.28,£0.00,In stock (3 available),0
Career of Evil (Cormoran Strike #3),b461cf238506c5b8,Books,£24.72,£24.72,£0.00,In stock (3 available),0
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,ef49db2aaa9bb547,Books,£37.35,£37.35,£0.00,In stock (3 available),0
Cinder (The Lunar Chronicles #1),7e9579921e5407cb,Books,£26.09,£26.09,£0.00,In stock (3 available),0
Civilization and Its Discontents,396385e3de5d18c3,Books,£59.95,£59.95,£0.00,In stock (3 available),0
Counting Thyme,157f693d9e600ccc,Books,£10.62,£10.62,£0.00,In stock (3 available),0
Crazy Rich Asians (Crazy Rich Asians #1),c9782ad2a0ed9331,Books,£49.13,£49.13,£0.00,In stock (3 available),0
Dark Places,66937c669c4da072,Books,£23.90,£23.90,£0.00,In stock (3 available),0
Darkfever (Fever #1),468bd274ac084bb9,Books,£56.02,£56.02,£0.00,In stock (3 available),0
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",d234ddecef49ef4e,Books,£17.81,£17.81,£0.00,In stock (3 available),0
Dead Wake: The Last Crossing of the Lusitania,04d858cdeeee0da4,Books,£39.24,£39.24,£0.00,In stock (3 available),0
Disrupted: My Misadventure in the Start-Up Bubble,81372abc86f65c79,Books,£15.28,£15.28,£0.00,In stock (3 available),0
Do Androids Dream of Electric Sheep? (Blade Runner #1),98330e431e56a9ea,Books,£51.48,£51.48,£0.00,In stock (3 available),0
Dracula,a7ec599c1a547746,Books,£52.62,£52.62,£0.00,In stock (3 available),0
Dune (Dune #1),36d5884d44484277,Books,£54.86,£54.86,£0.00,In stock (3 available),0
Eclipse (Twilight #3),73f71f9556442117,Books,£18.74,£18.74,£0.00,In stock (3 available),0
Eragon (The Inheritance Cycle #1),b843f52a986a2914,Books,£43.87,£43.87,£0.00,In stock (3 available),0
Extreme Prey (Lucas Davenport #26),588ba85ff11a3263,Books,£25.40,£25.40,£0.00,In stock (3 available),0
Fellside,147019cae600694e,Books,£38.62,£38.62,£0.00,In stock (3 available),0
Fifty Shades Freed (Fifty Shades #3),ed813a848580ba50,Books,£15.36,£15.36,£0.00,In stock (3 available),0
Fire Bound (Sea Haven/Sisters of the Heart #5),2ed3a794a70aa85f,Books,£21.28,£21.28,£0.00,In stock (3 available),0
"Friday Night Lights: A Town, a Team, and a Dream",a9aa3ed5b316470b,Books,£51.22,£51.22,£0.00,In stock (3 available),0
"Fruits Basket, Vol. 3 (Fruits Basket #3)",d5f5a122a593b580,Books,£45.17,£45.17,£0.00,In stock (3 available),0
Girl in the Blue Coat,41fc5dce044f16f5,Books,£46.83,£46.83,£0.00,In stock (3 available),0
Gone Girl,d5c588b6f9c015e4,Books,£37.60,£37.60,£0.00,In stock (3 available),0
Gratitude,c300cc9326592b65,Books,£26.66,£26.66,£0.00,In stock (3 available),0
"Grayson, Vol 3: Nemesis (Grayson #3)",4f6985aca357ae09,Books,£42.72,£42.72,£0.00,In stock (3 available),0
Green Eggs and Ham (Beginner Books B-16),621e2c310cec8d32,Books,£10.79,£10.79,£0.00,In stock (3 available),0
Heir to the Sky,b003f8bb02f76dc5,Books,£44.07,£44.07,£0.00,In stock (3 available),0
Holidays on Ice,0cb4856be3694a57,Books,£51.07,£51.07,£0.00,In stock (3 available),0
Horrible Bear!,cc1ac978a6835ef6,Books,£37.52,£37.52,£0.00,In stock (3 available),0
House of Leaves,557c03c284be1bf2,Books,£54.89,£54.89,£0.00,In stock (3 available),0
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",1812b8f5641287e3,Books,£43.70,£43.70,£0.00,In stock (3 available),0
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,6c4d17a46cac8787,Books,£33.14,£33.14,£0.00,In stock (3 available),0
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,8010c7c148057fd3,Books,£28.88,£28.88,£0.00,In stock (3 available),0
I've Got Your Number,6b32b561dab8036c,Books,£19.69,£19.69,£0.00,In stock (3 available),0
If I Run (If I Run #1),61569d12d4ae7161,Books,£49.97,£49.97,£0.00,In stock (3 available),0
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",d8292cd5f1aca291,Books,£28.85,£28.85,£0.00,In stock (3 available),0
Inferno (Robert Langdon #4),6c4646d90b60a56c,Books,£41.00,£41.00,£0.00,In stock (3 available),0
Into the Wild,a7c3f1010d64799a,Books,£56.70,£56.70,£0.00,In stock (3 available),0
Is Everyone Hanging Out Without Me? (And Other Concerns),034829ffdd0a0aea,Books,£20.11,£20.11,£0.00,In stock (3 available),0
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,d4a29356fc992879,Books,£42.38,£42.38,£0.00,In stock (3 available),0
Jurassic Park (Jurassic Park #1),a0dd11f6abc421ec,Books,£44.97,£44.97,£0.00,In stock (3 available),0
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",190fbebbf798c31a,Books,£55.50,£55.50,£0.00,In stock (3 available),0
"Lean In: Women, Work, and the Will to Lead",d5e1a9bfe22bbf9f,Books,£25.02,£25.02,£0.00,In stock (3 available),0
Legend (Legend #1),0ce8075fab4a2b5b,Books,£43.69,£43.69,£0.00,In stock (3 available),0
Let's Pretend This Never Happened: A Mostly True Memoir,1246e4ffeb5ac4ea,Books,£45.11,£45.11,£0.00,In stock (3 available),0
Letter to a Christian Nation,1de75f05d57bfc10,Books,£22.20,£22.20,£0.00,In stock (3 available),0
Life After Life,4ec53ff7e2263f32,Books,£26.13,£26.13,£0.00,In stock (3 available),0
Life Without a Recipe,c53d9fefcda371e9,Books,£59.04,£59.04,£0.00,In stock (3 available),0
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",4b3f4f151c99f472,Books,£33.26,£33.26,£0.00,In stock (3 available),0
Lila (Gilead #3),4ef75307fb64e2ad,Books,£12.47,£12.47,£0.00,In stock (3 available),0
Lust & Wonder,0dcadb06206abd3c,Books,£11.87,£11.87,£0.00,In stock (3 available),0
Manuscript Found in Accra,546da23278482b0a,Books,£34.98,£34.98,£0.00,In stock (3 available),0
Me Talk Pretty One Day,abc4a7ee16c21088,Books,£57.60,£57.60,£0.00,In stock (3 available),0
Midnight Riot (Peter Grant/ Rivers of London - books #1),e9056f9b5a40a301,Books,£55.46,£55.46,£0.00,In stock (3 available),0
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",7980fa06f2b704d8,Books,£57.83,£57.83,£0.00,In stock (3 available),0
Morning Star (Red Rising #3),7ce5a92baabb6bc0,Books,£29.40,£29.40,£0.00,In stock (3 available),0
Naked,54aeeb4610d3ae08,Books,£31.69,£31.69,£0.00,In stock (3 available),0
Neither Here nor There: Travels in Europe,747cf7fca2ccdbd4,Books,£38.95,£38.95,£0.00,In stock (3 available),0
Night (The Night Trilogy #1),c4d9fce9eff3b8ba,Books,£13.51,£13.51,£0.00,In stock (3 available),0
Notes from a Small Island (Notes From a Small Island #1),cb65e49993db9a93,Books,£40.17,£40.17,£0.00,In stock (3 available),0
Orange Is the New Black,8378c899988905ee,Books,£24.61,£24.61,£0.00,In stock (3 available),0
Original Fake,c59283b05905c853,Books,£31.45,£31.45,£0.00,In stock (3 available),0
Outliers: The Story of Success,09a7b0b566ad6225,Books,£14.16,£14.16,£0.00,In stock (3 available),0
